sex,age,denom_breast_cancer,denom_cirrhosis,denom_esophageal_cancer,denom_epilepsy,denom_injuries,denom_ischaemic_stroke,denom_aud,denom_liver_cancer,denom_ischemic_heart_disease,denom_pancreatitis
Female,42,1.0658766098513865,1.6460595929794868,1.1075071631848086,1.2887348602657562,1.0309764789278808,1.0354515183944186,2.3737714276719117,1.047105985327191,1.0,1.092485975293956
Female,43,1.0658207145559646,1.6420990802998994,1.1073412228196937,1.2908708986034352,1.0309813548703382,1.0342838433970614,2.3507518181653264,1.0471504224200758,1.0,1.092337873230863
Female,44,1.0657231054505552,1.6472251835535285,1.1073259055448146,1.2906233121394255,1.0308895478159776,1.0358972859120599,2.3829878956850616,1.0469597437457978,1.0,1.0923141815645494
Female,45,1.0748306232858484,1.6958242784758977,1.1211012285930493,1.3170843031251869,1.035456612939056,1.0318460056503451,2.378502110505764,1.0542052175758323,1.0,1.104343108693778
Female,46,1.075232874227872,1.7031350673148902,1.121860645634807,1.321562861336111,1.0356217449529321,1.0328528659266383,2.400401548990521,1.0544178237329414,1.0,1.1049768564202245
Female,47,1.0757733110303231,1.7073698882338733,1.1227229854985283,1.3251879666432846,1.035884765644524,1.032656949211102,2.402082171257271,1.0548374097220965,1.0,1.1057129034496251
Female,48,1.0742530053376664,1.689434153530244,1.1201374404411522,1.3134021804540532,1.0351847341459266,1.031685735356794,2.364741455539961,1.0537776436743191,1.0,1.1035276736270685
Female,49,1.0748963425165237,1.7021347960922648,1.121354383894596,1.3185723744080335,1.0354476081627815,1.0331427035930358,2.4081411213630686,1.054152811296465,1.0,1.1045390104387058
Female,50,1.076249331564998,1.719770620730495,1.1236908703556818,1.3271400905326887,1.036052237920053,1.0347943520825358,2.4541654493411196,1.0550344746262788,1.0,1.1065243471704722
Female,51,1.0753171762067792,1.703084218993754,1.1219883130723105,1.3240522106029304,1.0356696334915183,1.032430026585194,2.3921451705210717,1.0545063799529568,1.0,1.1050769068699025
Female,52,1.0740509402722662,1.6878268268326553,1.1198086568727312,1.3113813326088664,1.0350861805854257,1.0316925562030577,2.364341156292624,1.0536291589491547,1.0,1.103248705087951
Female,53,1.0752038584341854,1.7038017088199575,1.1218335185477721,1.3206569073197867,1.0355978243000694,1.033099649493071,2.4046589132636482,1.05437424199347,1.0,1.104955344551764
Female,54,1.0741665788958101,1.6905546083069567,1.1200352172808328,1.311978500948518,1.0351305052543123,1.0320808727489346,2.3753836308815277,1.0536887541337323,1.0,1.1034375712662758
Female,55,1.075226169203424,1.7026013449702209,1.1218174260835327,1.3180638570992826,1.0356182230214004,1.0327928475231465,2.4019706346633614,1.054428100053412,1.0,1.104954567817498
